Locality Number	Station Number	Locality Name	Address Name
30000	8660	ירושלים	אביגור שאול 7
30000	8670	ירושלים	שמחת כהן 24
30000	8680	ירושלים	שמחת כהן 24
30000	8710	ירושלים	אביגור שאול 7
30000	9590	ירושלים	הרב ניסים יצחק 3
30000	9700	ירושלים	בית הערבה 7
30000	1341	ירושלים	יצחק אלחנן 4
30000	1342	ירושלים	יצחק אלחנן 4
30000	1343	ירושלים	יצחק אלחנן 4
30000	1344	ירושלים	יצחק אלחנן 4
30000	1345	ירושלים	יצחק אלחנן 4
30000	1490	ירושלים	הגדוד העברי 22
30000	4070	ירושלים	הגדוד העברי 22
